sample_id,noise_type,snr_db,system,enhancement_method,reference,hypothesis,wer,cer,duration_sec,avg_logprob,inference_ms,rtf
1089-134686-0000,white,-5,raw,none,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,"He hoped that he could be pleased with him, turn it to carrots and feed the table. That's what he's been made about. Big pepper, that was that was that was all.",0.9642857142857143,0.620253164556962,10.435,-1.0027431405108909,1611.8984169879695,0.15447038016176037
1089-134686-0000,white,-5,wiener,wiener,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,He hope they would be too sick of him. Turn it into the carrot. You could pick it back. You could make it happen. Take it. Power it back into the carrot.,1.0357142857142858,0.6582278481012658,10.435,-1.0064818757645628,1680.7936249970226,0.16107270004763033
1089-134686-0000,white,-5,spectral_sub,spectral_subtraction,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,"He hopes that it be free to do it, turn it to carrots and leaves to pay the back of what you think is related to how thick pepper shall have stopped.",0.9642857142857143,0.5506329113924051,10.435,-0.9689404536516238,546.2199999892619,0.05234499281162068
1089-134686-0000,white,-5,adaptive,wiener,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,He hope they would be too quick in there. Turn it into your carrot. You can pick it back. You can pick it in there. Pick it in there.,0.8928571428571429,0.6329113924050633,10.435,-0.9979219769322595,564.4232500053477,0.05408943459562507
1089-134686-0000,white,0,raw,none,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,"He hopes they would be too beginner, turnips and carrots and fruit to pay no reason, fast and much in pieces to be laid about, thick, pepper, flowers fast and soft.",0.75,0.3670886075949367,10.435,-0.8148715163386145,244.70412499795202,0.0234503234305656
1089-134686-0000,white,0,wiener,wiener,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,"He hoped it would be too written, and turned it to the parrot, and re-ret He hoped it would be too written, and turned it to the parrot, and re-ret",0.8928571428571429,0.620253164556962,10.435,-0.7846908595251001,526.806249996298,0.050484547196578626
1089-134686-0000,white,0,spectral_sub,spectral_subtraction,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,"He hopes there would be food within her, turn it to carrots and grease to pay no income fast and what the pieces could be laid about, thick pepper, smell of sapphous sauce.",0.8571428571428571,0.46835443037974683,10.435,-0.854628426688058,235.54774999502115,0.022572855773360913
1089-134686-0000,white,0,adaptive,wiener,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,"He hoped he would be too good in that, turn it to the parrot, and re-tape the bat, but he would be laying out thick, peppered balance bat, thought.",0.7857142857142857,0.5063291139240507,10.435,-0.9053192403581407,1548.9342079963535,0.14843643584057054
1089-134686-0000,white,5,raw,none,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,"He hoped there would be stew-for dinner, turnips and carrots and bruised potatoes, and fast-mucking pieces to be ladled out, and thick pepper, flowers fat and soft.",0.4642857142857143,0.1518987341772152,10.435,-0.6081732648114363,260.5172500043409,0.024965716339658925
1089-134686-0000,white,5,wiener,wiener,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,"He hoped there would be two for dinner, turn it from carrots and brew potatoes and fat and pew pew pew be ladled out, thick, peppered, lower fat and salt.",0.6071428571428571,0.2721518987341772,10.435,-0.7992196958892199,269.579582993174,0.02583417182493282
